"cust.id","age","credit.score","email","distance.to.store","online.visits","online.trans","online.spend","store.trans","store.spend","sat.service","sat.selection"
"1",22.8943690630954,630.608882761678,"yes",2.58249424194572,20,3,58.4299886955371,4,140.323212664809,3,3
"2",28.0499437126172,748.574644433743,"yes",48.1759886536256,121,39,756.880082664258,0,0,3,3
"3",35.8794172554414,732.545857669686,"yes",1.28571235672235,39,14,250.328005700617,0,0,NA,NA
"4",30.5273952942594,829.588861966343,"yes",5.25399208149831,1,0,0,2,95.9119439659928,4,2
"5",38.7357467979662,733.796824963059,"no",25.0446933194725,35,11,204.69331431908,0,0,1,1
"6",42.4127731754508,685.872063599405,"yes",18.4620414554326,1,1,19.01064577479,0,0,NA,NA
"7",28.2939535270774,724.546353100721,"yes",9.3440211474013,1,1,18.7161985277576,2,63.5237408707839,3,3
"8",36.4906547021417,748.576117300814,"yes",6.91749889619274,48,13,255.819182321826,4,74.98432749004,2,3
"9",30.3707616002846,689.665622992501,"no",12.8482134114086,0,0,0,0,0,4,2
"10",26.5899940505354,786.515807420251,"no",6.61832628853313,14,6,123.671757543265,3,103.419606204409,3,2
"11",41.8358500876011,722.105592249195,"no",6.63019104206416,2,1,20.2537831372448,0,0,3,2
"12",37.4382554057361,707.286307329813,"yes",1.5079258339751,0,0,0,9,453.233778031098,NA,NA
"13",35.1513571659007,745.626912587013,"yes",58.6047324007364,0,0,0,0,0,NA,NA
"14",31.9305424583211,732.589767500991,"no",3.87974719965533,108,26,601.607697944286,3,63.6179298691634,1,2
"15",29.0609259863988,738.197647895247,"yes",47.9199700976703,0,0,0,0,0,NA,NA
"16",39.8453479782118,842.046531477029,"yes",13.2167309896329,1,0,0,2,78.3435794376876,3,3
"17",36.205515679861,703.210955906208,"yes",21.1968480155796,0,0,0,0,0,3,3
"18",35.8871828982188,738.271734962423,"yes",2.49604784926774,33,8,181.096848930301,2,44.0891311142254,NA,NA
"19",36.9424326455046,705.27722146852,"yes",1.37643565163218,16,7,149.971178867691,0,0,2,2
"20",33.7410876527991,842.298454730607,"yes",89.3582568515729,13,2,47.2255019325996,0,0,NA,NA
"21",30.7054772959797,672.704026685405,"yes",1.74589079175983,0,0,0,0,0,NA,NA
"22",34.170750259908,814.852620234969,"yes",23.1619758763591,24,6,122.951365725048,1,21.7438967029541,2,1
"23",42.0399318486578,707.48676127112,"yes",22.3670829905408,0,0,0,0,0,3,3
"24",35.6287845898262,717.913716030433,"yes",22.2931006555269,14,5,92.617159028007,0,0,NA,NA
"25",39.8798630421091,791.454404477249,"yes",4.36933086354471,3,1,24.2442561547366,2,103.186335807892,3,2
"26",32.2053358134362,701.221776183201,"yes",4.46350363687343,83,35,706.043460949699,3,84.0495638697969,3,2
"27",42.0401590721923,723.721198279899,"yes",8.24987035495894,127,49,908.089494943942,2,34.5131310014739,4,2
"28",32.5110495256893,746.85904651442,"yes",5.4859639544179,8,2,34.1022092364729,0,0,3,2
"29",29.5755852485709,778.313216024749,"yes",3.64822324297905,30,13,249.337281245967,3,212.411452469211,3,3
"30",31.5500311114498,764.416811702459,"yes",2.74909865573645,40,11,243.528612042746,0,0,4,4
"31",38.2673568919934,742.031198036657,"yes",1.95516491140632,0,0,0,4,167.423619739329,NA,NA
"32",38.0043610546979,799.44231145117,"yes",6.11113659130159,13,6,132.84267150473,0,0,NA,NA
"33",35.2007359577438,733.462138321755,"yes",0.334653457986459,197,50,1073.63276363108,2,56.8831202448905,NA,NA
"34",22.5913836428948,695.679235671785,"no",4.81005925441471,4,1,17.4574415676228,1,68.4490656509428,3,2
"35",45.1012780833099,778.831416917553,"yes",11.2257891085646,0,0,0,0,0,4,5
"36",39.4746679572901,682.305798408026,"yes",6.99912039535289,0,0,0,0,0,3,3
"37",34.5446905002506,724.397832055988,"yes",28.7115550774027,21,8,138.091115763724,0,0,3,3
"38",37.2519583577944,833.022689000337,"yes",59.1646331036292,0,0,0,0,0,3,2
"39",30.3266877440804,741.145961975772,"yes",5.75801680792858,1,1,21.9381947347461,1,64.8381115417211,4,4
"40",40.7897861069908,796.794155848765,"yes",5.6457756219617,0,0,0,0,0,2,1
"41",35.9156794834207,766.530070344347,"no",15.5157468566566,0,0,0,0,0,3,3
"42",36.4019020665856,749.353460219322,"yes",22.3918532034807,0,0,0,2,44.749958719114,3,1
"43",44.0877539782959,793.549961898802,"yes",8.56852456098915,17,6,119.687542932878,1,23.9514631884821,2,1
"44",31.0333929095783,733.535418197512,"yes",5.68471592528288,0,0,0,1,48.6166330545425,4,3
"45",38.5728283377784,779.160614975517,"yes",10.1936271909439,0,0,0,1,26.661379530542,NA,NA
"46",31.7092350294871,752.641211717187,"yes",11.7356856212322,43,12,227.382029440109,1,50.283620450979,NA,NA
"47",36.8687372960584,639.792089567732,"yes",16.5032664809767,1,1,18.4593630236145,0,0,NA,NA
"48",28.9898849434161,696.800931507669,"yes",14.257605078407,111,35,816.205668128574,0,0,4,2
"49",32.8519983596073,677.445747734493,"no",5.30075738407428,0,0,0,2,89.40804805946,4,3
