"weekend","num.child","distance","rides","games","wait","clean","overall"
"yes",0,114.648259456509,87,73,60,89,47
"yes",2,27.014096967367,87,78,76,87,65
"no",1,63.3009751958477,85,80,70,88,61
"yes",0,25.9099310740167,88,72,66,89,37
"no",4,54.7183068676929,84,87,74,87,68
"no",5,22.6793388454509,81,79,48,79,27
"yes",1,26.6495647689515,77,73,58,85,40
"no",0,11.3001878969801,82,70,70,83,30
"no",0,14.1140328573256,90,88,79,95,58
"yes",3,21.3599397342169,88,86,55,88,36
"yes",1,13.8172262561123,93,87,85,88,71
"yes",4,37.8149469069153,79,72,64,82,48
"no",2,11.8134238786724,94,81,75,95,75
"yes",2,6.09290258024307,81,90,69,83,46
"yes",2,94.1054336574136,86,75,72,95,59
"yes",2,59.8997999590961,88,83,74,90,63
"yes",0,4.62746131912774,88,72,70,89,38
"no",0,6.75046620313234,83,70,46,84,28
"no",2,25.5520466117691,78,80,75,82,50
"no",2,35.4410224977389,89,82,81,90,70
"no",2,13.5218208545248,92,87,99,93,80
"yes",3,26.7063059985242,84,81,74,87,57
"yes",4,9.1863944886334,80,71,65,83,28
"yes",0,28.0253158084051,91,80,86,94,46
"yes",3,15.8760272217862,90,66,83,89,74
"no",2,90.4697247974332,87,89,65,90,59
"no",3,32.3015374792939,76,67,59,80,40
"yes",4,28.9924075041096,80,76,68,80,52
"yes",0,8.56769170391482,92,83,68,97,36
"yes",0,15.1016956854849,86,87,67,93,33
"no",2,15.3089446179785,83,83,64,84,45
"yes",1,3.54750406443772,75,77,84,79,52
"yes",0,47.4600312236039,86,84,73,90,26
"no",0,10.4787622498132,79,82,80,88,34
"no",0,163.219454135435,79,74,57,81,33
"yes",0,9.21539583681525,88,83,62,94,45
"yes",4,6.040529116185,87,81,66,91,60
"no",0,6.61766845017626,91,82,99,93,62
"no",2,17.2321656537603,90,89,80,92,63
"no",0,46.2918335200122,94,86,77,91,43
"no",2,10.3562087067939,79,72,57,81,42
"yes",1,17.1237013586462,80,83,80,89,70
"yes",3,1.48901381467793,80,79,61,81,45
"no",2,20.9255557620615,84,78,67,89,53
"no",2,4.3553578414435,86,92,49,86,42
"yes",0,19.1363243718142,84,58,63,85,23
"yes",0,21.9499857482756,82,76,68,93,43
"no",0,21.2611584390717,81,75,84,86,37
"yes",2,7.9387046856893,84,76,70,91,66
"no",0,4.17324980340168,89,71,73,87,38
"no",1,49.1685715735281,90,82,62,89,56
"no",2,36.8327686831935,85,81,91,89,64
"no",4,10.1111841284559,87,89,88,89,68
"no",2,3.80368541396004,88,85,84,100,85
"yes",2,19.6802727593208,76,57,56,74,7
"yes",2,6.59238841549123,76,64,57,81,37
"yes",2,63.2924821445022,98,87,89,100,100
"yes",0,6.21988175811519,79,75,61,83,25
"yes",0,27.8570317097289,93,89,100,94,50
"yes",0,27.8021886278103,85,70,76,88,46
"no",2,14.3271591910662,76,67,51,82,28
"yes",0,5.38564676725105,90,86,73,91,46
"yes",2,121.614584254971,76,62,64,81,37
"yes",1,129.975147226729,100,100,80,95,91
"no",2,8.33656574420902,83,76,76,87,45
"yes",3,15.4184404239129,84,79,73,89,56
"yes",4,6.62965074265791,88,84,63,89,54
"no",5,70.904421921021,83,92,76,93,72
"yes",1,45.340223160901,86,87,62,91,61
"yes",4,32.3560820720982,82,77,52,87,24
"no",2,24.7988145900564,87,92,70,87,59
"no",0,17.9830371569844,86,76,94,87,40
"no",5,10.1422376877833,87,67,86,91,69
"no",2,93.3330664560403,90,96,67,99,62
"yes",4,24.3949750133796,95,96,84,96,72
"yes",2,16.9316293528014,84,85,65,83,36
"yes",2,29.5060098760964,92,87,87,100,71
"no",3,9.52392972144616,74,69,55,83,21
"no",4,9.55648559449467,85,72,84,95,75
"yes",4,26.5144177530012,74,68,50,78,22
"no",2,30.2993753958975,87,83,74,89,56
"yes",3,48.5353288742979,85,62,77,88,57
